Altium Designer Pick and Place Locations,,,,,,,,
E:\My Projects\Dropbox\0ALL PROJECTS\000 Aaron Ground Water Monitoring System\Altium Files\Project Outputs for Free Documents\Pick Place\Pick Place for GWMS.csv,,,,,,,,
,,,,,,,,
========================================================================================================================,,,,,,,,
File Design Information:,,,,,,,,
,,,,,,,,
Date:       17/02/19,,,,,,,,
Time:       01:03,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,
Variant:    No variations,,,,,,,,
Units used: mm,,,,,,,,
,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Center-X(mm),Center-Y(mm),Rotation
C1,10uF,TopLayer,C1206,"72,4379mm","53,0000mm",72.4379,53.0000,180
C2,100nF,TopLayer,C0805,"72,4460mm","50,2840mm",72.4460,50.2840,360
C3,10uF,TopLayer,C1206,"48,8240mm","44,5000mm",48.8240,44.5000,180
C4,100nF,TopLayer,C0805,"48,8240mm","47,0000mm",48.8240,47.0000,360
C5,10uF,TopLayer,C1206,"72,5059mm","44,5000mm",72.5059,44.5000,180
C6,100nF,TopLayer,C0805,"72,5059mm","47,0000mm",72.5059,47.0000,360
C7,10uF,TopLayer,C1206,"48,8240mm","52,8240mm",48.8240,52.8240,180
C8,100nF,TopLayer,C0805,"48,8240mm","50,2750mm",48.8240,50.2750,360
C9,10uF,TopLayer,C1206,"12,5020mm","22,8520mm",12.5020,22.8520,270
C10,100nF,TopLayer,C0805,"27,2340mm","20,5000mm",27.2340,20.5000,180
C11,100nF,TopLayer,C0805,"35,8700mm","20,5000mm",35.8700,20.5000,180
C12,10uF,TopLayer,C1206,"57,4600mm","52,8240mm",57.4600,52.8240,360
C13,100nF,TopLayer,C0805,"57,4600mm","50,2840mm",57.4600,50.2840,180
C14,10uF,TopLayer,C1206,"33,5840mm","52,5700mm",33.5840,52.5700,360
C15,100nF,TopLayer,C0805,"33,5840mm","50,0300mm",33.5840,50.0300,180
C16,10uF,TopLayer,C1206,"57,4379mm","44,5000mm",57.4379,44.5000,360
C17,100nF,TopLayer,C0805,"57,4600mm","47,0250mm",57.4600,47.0250,180
C18,10uF,TopLayer,C1206,"33,5840mm","44,6960mm",33.5840,44.6960,360
C19,100nF,TopLayer,C0805,"33,5840mm","47,0250mm",33.5840,47.0250,180
C20,100nF,TopLayer,C0805,"31,4309mm","30,9800mm",31.4309,30.9800,180
C21,470pF,TopLayer,C0805,"22,6620mm","25,1380mm",22.6620,25.1380,270
C22,4.7uF,TopLayer,C1206,"21,3920mm","21,8360mm",21.3920,21.8360,180
C23,470uF,TopLayer,CAPAE120103X102N,"77,5059mm","22,0000mm",77.5059,22.0000,360
C24,100nF,TopLayer,C0805,"80,0059mm","32,5000mm",80.0059,32.5000,90
C25,100nF,TopLayer,C0805,"23,3639mm","57,9030mm",23.3639,57.9030,90
C26,10uF,TopLayer,C1206,"79,3040mm","38,0920mm",79.3040,38.0920,180
